Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
Cambodia,4.341,4.446,4.236,0.765,1.011,1.019,0.442,0.863,0.17,0.071,17.622667588113337,23.28956461644782,23.4738539507026,10.181985717576595,19.880211932734394,3.916148352914075,1.6355678415111725
Ghana,4.289,4.396,4.182,1.273,1.077,0.747,0.36,0.623,0.183,0.028,29.680578223362087,25.110748426206577,17.41664723711821,8.393564933550945,14.525530426672887,4.26672884122173,0.6528328281650735
Liberia,4.269,4.474,4.063,1.878,0.619,0.673,0.301,0.546,0.178,0.075,43.99156711173576,14.499882876551883,15.764816116186461,7.050831576481611,12.789880534082924,4.169594752869524,1.7568517217146873
Mali,4.232,4.347,4.117,1.734,0.747,0.688,0.267,0.586,0.12,0.09,40.97353497164461,17.651228733459355,16.257088846880904,6.309073724007562,13.8468809073724,2.8355387523629485,2.1266540642722114
Madagascar,4.228,4.359,4.097,1.897,0.628,0.823,0.333,0.25,0.172,0.123,44.867549668874176,14.853358561967834,19.465468306527907,7.876064333017976,5.912961210974457,4.068117313150426,2.9091769157994327
Togo,4.214,4.33,4.098,1.814,0.758,0.586,0.32,0.453,0.127,0.156,43.046986236355,17.98766018035121,13.906027527289982,7.593735168485999,10.749881347887992,3.0137636449928804,3.7019458946369244
Jordan,4.186,4.306,4.066,0.504,1.262,0.983,0.594,0.593,0.059,0.189,12.040133779264215,30.14811275680841,23.483038700430004,14.190157668418538,14.166268514094602,1.409460105112279,4.51505016722408
India,4.054,4.123,3.985,0.756,1.166,0.653,0.417,0.767,0.174,0.122,18.64824864331524,28.76171682289097,16.107548100641342,10.286137148495312,18.91958559447459,4.292057227429699,3.009373458312777
Egypt,3.977,4.066,3.887,0.349,1.37,0.996,0.488,0.49,0.025,0.259,8.775458888609505,34.448076439527284,25.044003017349763,12.270555695247674,12.320844857933116,0.6286145335680161,6.5124465677646475
Sri Lanka,3.898,4.018,3.778,0.014,1.361,1.179,0.586,0.583,0.144,0.031,0.35915854284248333,34.9153412006157,30.24628014366342,15.033350436121088,14.956387891226269,3.6942021549512565,0.7952796305797846
Bangladesh,3.886,3.994,3.778,0.919,1.122,0.249,0.513,0.775,0.14,0.167,23.648996397323728,28.872876994338654,6.407617086978898,13.201235203293876,19.943386515697377,3.602676273803397,4.297478126608337
Ethiopia,3.861,3.997,3.725,0.923,0.792,0.915,0.42,0.441,0.27,0.101,23.905723905723907,20.51282051282051,23.6985236985237,10.878010878010876,11.421911421911421,6.993006993006993,2.6159026159026157
Tanzania,3.781,3.917,3.644,0.717,0.82,0.706,0.38,0.709,0.191,0.257,18.963237238825705,21.687384289870405,18.67230891298598,10.050251256281406,18.75165300185136,5.051573657762496,6.797143612800846
Comoros,3.566,3.754,3.378,1.512,0.896,0.328,0.37,0.172,0.128,0.16,42.400448681996636,25.12619181155356,9.197980931015143,10.375771172181716,4.8233314638250135,3.58945597307908,4.48681996634885
Yemen,3.561,3.714,3.408,0.76,0.671,1.281,0.293,0.362,0.08,0.113,21.34231957315361,18.84302162313957,35.97304128053918,8.228025835439484,10.165683796686324,2.246559955068801,3.173265936534681
Zambia,3.502,3.636,3.368,0.526,0.899,0.809,0.264,0.727,0.168,0.109,15.019988577955456,25.67104511707596,23.10108509423187,7.538549400342662,20.759565962307253,4.797258709308967,3.1125071387778416
Eswatini,3.502,3.673,3.331,0.686,1.255,0.925,0.176,0.284,0.059,0.116,19.58880639634495,35.83666476299258,26.41347801256425,5.025699600228441,8.109651627641348,1.6847515705311251,3.3123929183323817
Malawi,3.421,3.561,3.281,1.203,0.617,0.41,0.349,0.571,0.135,0.136,35.16515638702134,18.035662087109035,11.98479976615025,10.201695410698626,16.691026015784857,3.9462145571470333,3.9754457760888635
Botswana,3.383,3.558,3.209,0.066,1.445,0.969,0.241,0.567,0.014,0.082,1.950931126219332,42.71356783919598,28.643216080402013,7.123854566952409,16.76027194797517,0.4138338752586462,2.423884126514928
Zimbabwe,3.341,3.457,3.226,0.797,0.748,0.85,0.232,0.487,0.096,0.131,23.85513319365459,22.38850643519904,25.441484585453455,6.944028733912003,14.576474109548037,2.8733912002394493,3.920981741993415
Congo (Kinshasa),3.295,3.462,3.128,1.102,0.534,0.665,0.262,0.473,0.189,0.072,33.44461305007588,16.206373292867983,20.18209408194234,7.95144157814871,14.355083459787558,5.735963581183611,2.1851289833080423
Sierra Leone,3.245,3.366,3.124,1.068,0.654,0.566,0.253,0.469,0.181,0.053,32.91217257318952,20.15408320493066,17.442218798151,7.796610169491524,14.453004622496145,5.5778120184899835,1.633281972265023
Lesotho,3.186,3.469,2.904,0.875,0.771,0.851,0.0,0.523,0.082,0.085,27.463904582548647,24.199623352165727,26.710608913998747,0.0,16.415568110483367,2.573760200878845,2.667922159447583
Lebanon,2.707,2.797,2.616,-0.073,1.377,0.577,0.556,0.173,0.068,0.029,-2.6967122275581823,50.868119689693394,21.315108976727004,20.53934244551164,6.39083856667898,2.512005910602143,1.0712966383450315
Afghanistan,1.721,1.775,1.667,0.672,0.628,0.0,0.242,0.0,0.091,0.088,39.04706565950029,36.490412550842535,0.0,14.061592097617662,0.0,5.287623474723997,5.113306217315514
