name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,duration_min,type
The Babadook,2014,Not Rated,1h 34min,Drama; Horror; ,28 November 2014 (USA),6.8,188571,847,https://www.imdb.com/title/tt2321549/reviews/_ajax?ref_=undefined&paginationKey=,94,Drama
Orphan,2009,R,2h 3min,Horror; Mystery; Thriller; ,24 July 2009 (USA),6.9,186072,489,https://www.imdb.com/title/tt1148204/reviews/_ajax?ref_=undefined&paginationKey=,123,Horror
The Witch,2015,R,1h 32min,Drama; Horror; Mystery; ,19 February 2016 (USA),6.9,185878,982,https://www.imdb.com/title/tt4263482/reviews/_ajax?ref_=undefined&paginationKey=,92,Drama
Bram Stoker's Dracula,1992,R,2h 8min,Horror; ,13 November 1992 (USA),7.4,185695,744,https://www.imdb.com/title/tt0103874/reviews/_ajax?ref_=undefined&paginationKey=,128,Horror
Rosemary's Baby,1968,R,2h 17min,Drama; Horror; ,17 October 1968 (France),8.0,185587,557,https://www.imdb.com/title/tt0063522/reviews/_ajax?ref_=undefined&paginationKey=,137,Drama
Drag Me to Hell,2009,PG-13,1h 39min,Horror; Thriller; ,29 May 2009 (USA),6.5,184255,782,https://www.imdb.com/title/tt1127180/reviews/_ajax?ref_=undefined&paginationKey=,99,Horror
It Chapter Two,2019,R,2h 49min,Drama; Fantasy; Horror; ,6 September 2019 (USA),6.6,183539,2182,https://www.imdb.com/title/tt7349950/reviews/_ajax?ref_=undefined&paginationKey=,169,Drama
Resident Evil: Apocalypse,2004,R,1h 34min,Action; Horror; Sci-Fi; ,10 September 2004 (USA),6.2,182625,695,https://www.imdb.com/title/tt0318627/reviews/_ajax?ref_=undefined&paginationKey=,94,Action
Mother!,2017,R,2h 1min,Drama; Horror; Mystery; ,15 September 2017 (USA),6.6,182167,2074,https://www.imdb.com/title/tt5109784/reviews/_ajax?ref_=undefined&paginationKey=,121,Drama
Alien vs. Predator,2004,PG-13,1h 41min,Action; Adventure; Horror; ,13 August 2004 (USA),5.6,180961,1345,https://www.imdb.com/title/tt0370263/reviews/_ajax?ref_=undefined&paginationKey=,101,Action
The Evil Dead,1981,NC-17,1h 25min,Horror; ,15 April 1983 (USA),7.5,180957,833,https://www.imdb.com/title/tt0083907/reviews/_ajax?ref_=undefined&paginationKey=,85,Horror
Resident Evil: Extinction,2007,R,1h 34min,Action; Horror; Sci-Fi; ,21 September 2007 (USA),6.3,180099,383,https://www.imdb.com/title/tt0432021/reviews/_ajax?ref_=undefined&paginationKey=,94,Action
Grindhouse,2007,R,3h 11min,Action; Horror; Thriller; ,6 April 2007 (USA),7.5,175669,534,https://www.imdb.com/title/tt0462322/reviews/_ajax?ref_=undefined&paginationKey=,191,Action
Saw III,2006,R,1h 48min,Horror; Mystery; Thriller; ,27 October 2006 (USA),6.2,174387,646,https://www.imdb.com/title/tt0489270/reviews/_ajax?ref_=undefined&paginationKey=,108,Horror
The Woman in Black,2012,PG-13,1h 35min,Drama; Fantasy; Horror; ,3 February 2012 (USA),6.4,171207,568,https://www.imdb.com/title/tt1596365/reviews/_ajax?ref_=undefined&paginationKey=,95,Drama
Pi,1998,R,1h 24min,Drama; Horror; Mystery; ,10 July 1998 (USA),7.4,166806,610,https://www.imdb.com/title/tt0138704/reviews/_ajax?ref_=undefined&paginationKey=,84,Drama
Hostel,2005,R,1h 34min,Horror; ,6 January 2006 (USA),5.9,165882,1566,https://www.imdb.com/title/tt0450278/reviews/_ajax?ref_=undefined&paginationKey=,94,Horror
Mama,2013,PG-13,1h 40min,Horror; Thriller; ,18 January 2013 (USA),6.2,165839,365,https://www.imdb.com/title/tt2023587/reviews/_ajax?ref_=undefined&paginationKey=,100,Horror
The Birds,1963,PG-13,1h 59min,Drama; Horror; Mystery; ,29 March 1963 (USA),7.7,165748,545,https://www.imdb.com/title/tt0056869/reviews/_ajax?ref_=undefined&paginationKey=,119,Drama
