doc_id,paragraph_id,sentence_id,sentence,token_id,token,lemma,upos,xpos,feats,head_token_id,dep_rel,deps,misc
doc29254,1,1,desirous,1,desirous,desirous,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29307,1,1,corrigan,1,corrigan,corrigan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29319,1,1,unexpected,1,unexpected,unexpected,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29346,1,1,stressful,1,stressful,stressful,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29374,1,1,portable,1,portable,portable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29393,1,1,spoiled,1,spoiled,spoilead,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29395,1,1,freemont,1,freemont,freemont,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29426,1,1,indepedant,1,indepedant,indepedant,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29428,1,1,luxerous,1,luxerous,luxerous,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29430,1,1,wondreful,1,wondreful,wondreful,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29483,1,1,fremt,1,fremt,fremt,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29507,1,1,generational,1,generational,generational,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29514,1,1,1huge,2,huge,huge,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29529,1,1,fantabulastic,1,fantabulastic,fantabulastic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29593,1,1,specaious,1,specaious,specaious,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29597,1,1,matic,1,matic,matic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29603,1,1,glenmore,1,glenmore,glenmore,ADJ,JJR,Degree=Cmp,0,root,NA,SpacesAfter=\n
doc29671,1,1,forrest,1,forrest,forrest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29681,1,1,accented,1,accented,accente,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29745,1,1,vicorian,1,vicorian,vicorian,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29776,1,1,anzaspectacular,1,anzaspectacular,anzaspectacular,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29777,1,1,exquisitequeenanne,1,exquisitequeenanne,exquisitequeenanne,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29781,1,1,u.s.f,1,u.s.,u.s.,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
doc29791,1,1,immeditate,1,immeditate,immeditate,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29794,1,1,minahan,1,minahan,minahan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29796,1,1,bryan,1,bryan,bryan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29799,1,1,2spacious,1,2spacious,2spacious,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29801,1,1,imposing,1,imposing,impos,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29803,1,1,hogan,1,hogan,hogan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29808,1,1,outrigger,1,outrigger,outrigger,ADJ,JJR,Degree=Cmp,0,root,NA,SpacesAfter=\n
doc29813,1,1,stuck,1,stuck,stuck,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29828,1,1,communitybeautiful,1,communitybeautiful,communitybeautiful,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29831,1,1,unfinished,1,unfinished,unfinished,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29836,1,1,availalable,1,availalable,availalable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29849,1,1,saturday:spacious,3,spacious,spacious,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29869,1,1,sweetest,1,sweetest,sweetest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29879,1,1,miraculous,1,miraculous,miraculous,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29892,1,1,avian,1,avian,avian,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29911,1,1,prettiest,1,prettiest,prettiest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29926,1,1,vincent’s,1,vincent,vincent,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
doc29946,1,1,exellent,1,exellent,exellent,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29952,1,1,purfect,1,purfect,purfect,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29960,1,1,agradable,1,agradable,agradable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29965,1,1,grennan,1,grennan,grennan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29985,1,1,unabstructed,1,unabstructed,unabstructed,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30016,1,1,hydronic,1,hydronic,hydronic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30040,1,1,spacious1br,1,spacious,spacious,ADJ,JJ,Degree=Pos,3,amod,NA,SpaceAfter=No
doc30042,1,1,mūst,1,mūst,mūst,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc30077,1,1,pleasanthill,1,pleasanthill,pleasanthill,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30091,1,1,lyric,1,lyric,lyric,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30093,1,1,looknomore,1,looknomore,looknomore,ADJ,JJR,Degree=Cmp,0,root,NA,SpacesAfter=\n
doc30100,1,1,desriable,1,desriable,desriable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30101,1,1,unattached,1,unattached,unattached,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30131,1,1,outstanding_house_at_bales_dr,1,outstanding_house_at_bales_dr,outstanding_house_at_bales_dr,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30140,1,1,additioinal,1,additioinal,additioinal,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30158,1,1,unethical,1,unethical,unethical,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30159,1,1,unprofessional,1,unprofessional,unprofessional,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30166,1,1,flexiable,1,flexiable,flexiable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30200,1,1,spectaclar,1,spectaclar,spectaclar,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30205,1,1,printable,1,printable,printable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30206,1,1,mediterrranean,1,mediterrranean,mediterrranean,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30215,1,1,wst,1,wst,wst,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc30220,1,1,included:beautiful,3,beautiful,beautiful,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc30221,1,1,___spectacular,1,___spectacular,___spectacular,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30237,1,1,edawrdian,1,edawrdian,edawrdian,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30269,1,1,comfortble,1,comfortble,comfortble,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30287,1,1,rivate,1,rivate,rivate,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30299,1,1,ugly,1,ugly,ugly,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc30344,1,1,foxworthy,1,foxworthy,foxworthy,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
